taster_name,taster_twitter_handle,email,password,username,num_reviews,average_rating
Kerin OKeefe,@kerinokeefe,Kerin OKeefe @email.com,pwd,KOKeefe,0,0
Roger Voss,@vossroger,Roger Voss @email.com,pwd,RVoss,0,0
Paul Gregutt,@paulgwine ,Paul Gregutt @email.com,pwd,PGregutt,0,0
Alexander Peartree,NA,Alexander Peartree @email.com,pwd,APeartree,0,0
Michael Schachner,@wineschach,Michael Schachner @email.com,pwd,MSchachner,0,0
Anna Lee C. Iijima,NA,Anna Lee C. Iijima @email.com,pwd,AIijima,0,0
Virginie Boone,@vboone,Virginie Boone @email.com,pwd,VBoone,0,0
Matt Kettmann,@mattkettmann,Matt Kettmann @email.com,pwd,MKettmann,0,0
Sean P. Sullivan,@wawinereport,Sean P. Sullivan @email.com,pwd,SSullivan,0,0
Jim Gordon,@gordone_cellars,Jim Gordon @email.com,pwd,JGordon,0,0
Joe Czerwinski,@JoeCz,Joe Czerwinski @email.com,pwd,JCzerwinski,0,0
Anne Krebiehl,@AnneInVino,Anne Krebiehl@email.com,pwd,AKrebiehla,0,0
Lauren Buzzeo,@laurbuzz,Lauren Buzzeo @email.com,pwd,LBuzzeo,0,0
Mike DeSimone,@worldwineguys,Mike DeSimone @email.com,pwd,MDeSimone,0,0
Jeff Jenssen,@worldwineguys,Jeff Jenssen @email.com,pwd,JJenssen,0,0
Susan Kostrzewa,@suskostrzewa,Susan Kostrzewa @email.com,pwd,SKostrzewa,0,0
Carrie Dykes,NA,Carrie Dykes @email.com,pwd,CDykes,0,0
Fiona Adams,@bkfiona,Fiona Adams @email.com,pwd,FAdams,0,0
Christina Pickard,@winewchristina,Christina Pickard @email.com,pwd,CPickard,0,0
